address,hop,amount_sent_BTC,transactions,first_seen_utc,last_seen_utc,sent_into,label,explorer
bc1qde66w0gkk0p3l5mukjrnryntnxgrlz6gz6p538,1,2.00007592,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qde66w0gkk0p3l5mukjrnryntnxgrlz6gz6p538
bc1qqy95nhsg9h2a0vuj046g2r80p2afhxult46w7v,1,1.999967,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qqy95nhsg9h2a0vuj046g2r80p2afhxult46w7v
124aqbyLpmyRppnseUsJcw1mmaXqeWc6wY,1,1.86141008,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/124aqbyLpmyRppnseUsJcw1mmaXqeWc6wY
bc1qast5zqy7ypav24y4dpsc0pvt8jug8k3lcpuxey,1,1.84676273,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qast5zqy7ypav24y4dpsc0pvt8jug8k3lcpuxey
bc1q9lv9wcdlsrnslwymtgupl6z7hf5ajsp707mz30,1,1.80702407,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q9lv9wcdlsrnslwymtgupl6z7hf5ajsp707mz30
bc1qaar4gt9p26r3shta7lg0nxwfvmfrpwvx8qs4r6,1,1.799967,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qaar4gt9p26r3shta7lg0nxwfvmfrpwvx8qs4r6
bc1qn4arcz2xssqy0e02zpj8szenv9dtz25t8lpvc8,1,1.77949129,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qn4arcz2xssqy0e02zpj8szenv9dtz25t8lpvc8
bc1qquvy9jtjqv2ksceawr2mweyazc4qth4mtjndly,1,1.74909559,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qquvy9jtjqv2ksceawr2mweyazc4qth4mtjndly
bc1qdrqzh0pp609xdcepvcwcrr4g3eysg0yp3j9vse,1,1.74395716,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qdrqzh0pp609xdcepvcwcrr4g3eysg0yp3j9vse
bc1qtmwe7e79sjjnlql2fxufggpf7r5l6u8eypp2cc,1,1.67987807,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qtmwe7e79sjjnlql2fxufggpf7r5l6u8eypp2cc
bc1q66kfmc87rdkl8y78knwpxzrqvpu7ch5rtgrd7f,1,1.6365262,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q66kfmc87rdkl8y78knwpxzrqvpu7ch5rtgrd7f
bc1qa6ex4zdtg3qz2azgchu49qzzfg6r7clh2cz5ms,1,1.63232227,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qa6ex4zdtg3qz2azgchu49qzzfg6r7clh2cz5ms
bc1qgzf96qtjnsmnmzxeam2tdmfng6v07hx5457z76,1,1.549967,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qgzf96qtjnsmnmzxeam2tdmfng6v07hx5457z76
bc1q0jc9ygw9hu0p4uzl7q8rvhfu6syk6lfmvjj79t,1,1.53472478,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q0jc9ygw9hu0p4uzl7q8rvhfu6syk6lfmvjj79t
bc1qcnjte47njghgs8xrzx3x4vdp7c9cqsj652d3m4,1,1.49580137,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qcnjte47njghgs8xrzx3x4vdp7c9cqsj652d3m4
bc1q9t6p60hjdht3nmz74rlh6vsklpxvs3uyt99ndg,1,1.45795769,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q9t6p60hjdht3nmz74rlh6vsklpxvs3uyt99ndg
bc1qh7gfl3793wcct476n0n7rv7ull8gd39ra0krqv,1,1.35932352,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qh7gfl3793wcct476n0n7rv7ull8gd39ra0krqv
bc1qvqyv8sa23ca5wvssvr3cva0k34tr7z4y6l0cfk,1,1.349949,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qvqyv8sa23ca5wvssvr3cva0k34tr7z4y6l0cfk
bc1qqnk5lwm5ufc7x3mlv7pmxwnkkezjr9u37zxtth,1,1.34374444,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qqnk5lwm5ufc7x3mlv7pmxwnkkezjr9u37zxtth
bc1qtzj87y0xsqgyjzdlzafmyrt8hus4t6c67j6u98,1,1.34356194,1,2026-07-30 01:37,2026-07-30 01:37,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qtzj87y0xsqgyjzdlzafmyrt8hus4t6c67j6u98
